number,carat,cut,color,clarity,depth,table,price,x,y,z,PB 
1,0.23,Ideal,E,SI2,61.5,55,326,3.95,3.98,2.43,1
2,0.21,Premium,E,SI1,59.8,61,326,3.89,3.84,2.31,1
3,0.23,Good,E,VS1,56.9,65,327,4.05,4.07,2.31,1
4,0.29,Premium,I,VS2,62.4,58,334,4.2,4.23,2.63,1
5,0.31,Good,J,SI2,63.3,58,335,4.34,4.35,2.75,1
6,0.24,Very Good,J,VVS2,62.8,57,336,3.94,3.96,2.48,1
7,0.24,Very Good,I,VVS1,62.3,57,336,3.95,3.98,2.47,1
8,0.26,Very Good,H,SI1,61.9,55,337,4.07,4.11,2.53,1
9,0.22,Fair,E,VS2,65.1,61,337,3.87,3.78,2.49,1
10,0.23,Very Good,H,VS1,59.4,61,338,4,4.05,2.39,1
11,0.3,Good,J,SI1,64,55,339,4.25,4.28,2.73,1
12,0.23,Ideal,J,VS1,62.8,56,340,3.93,3.9,2.46,1
13,0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33,1
14,0.31,Ideal,J,SI2,62.2,54,344,4.35,4.37,2.71,1
15,0.2,Premium,E,SI2,60.2,62,345,3.79,3.75,2.27,1
16,0.32,Premium,E,I1,60.9,58,345,4.38,4.42,2.68,1
17,0.3,Ideal,I,SI2,62,54,348,4.31,4.34,2.68,1
18,0.3,Good,J,SI1,63.4,54,351,4.23,4.29,2.7,1
19,0.3,Good,J,SI1,63.8,56,351,4.23,4.26,2.71,1
20,0.3,Very Good,J,SI1,62.7,59,351,4.21,4.27,2.66,1
21,0.3,Good,I,SI2,63.3,56,351,4.26,4.3,2.71,1
22,0.23,Very Good,E,VS2,63.8,55,352,3.85,3.92,2.48,1
23,0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41,1
24,0.31,Very Good,J,SI1,59.4,62,353,4.39,4.43,2.62,1
25,0.31,Very Good,J,SI1,58.1,62,353,4.44,4.47,2.59,1
26,0.23,Very Good,G,VVS2,60.4,58,354,3.97,4.01,2.41,1
27,0.24,Premium,I,VS1,62.5,57,355,3.97,3.94,2.47,1
28,0.3,Very Good,J,VS2,62.2,57,357,4.28,4.3,2.67,1
29,0.23,Very Good,D,VS2,60.5,61,357,3.96,3.97,2.4,1
